央视频道,#genre#
CCTV1 综合,http://39.184.224.99:9080/newlive/live/hls/1/live.m3u8
CCTV1 综合,http://60.187.75.90/newlive/live/hls/2/live.m3u8
CCTV1 综合,http://124.220.17.172/as.php?id=1
CCTV1 综合,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
CCTV1 综合,http://218.29.55.44:808/hls/1/index.m3u8
CCTV1 综合,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226231/index.m3u8
CCTV13 新闻,http://221.2.36.34:8888/newlive/live/hls/15/live.m3u8
CCTV13 新闻,http://124.220.17.172/as.php?id=13
CCTV13 新闻,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8
CCTV13 新闻,http://218.29.55.44:808/hls/13/index.m3u8
CCTV13 新闻,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8
CCTV4 中文国际,http://39.184.224.99:9080/newlive/live/hls/4/live.m3u8
CCTV4 中文国际,http://124.220.17.172/as.php?id=4
CCTV4 中文国际,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV4 中文国际,http://218.29.55.44:808/hls/4/index.m3u8
CCTV4 中文国际,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8
CCTV8 电视剧,http://39.184.224.99:9080/newlive/live/hls/8/live.m3u8
CCTV8 电视剧,http://124.220.17.172/as.php?id=8
CCTV8 电视剧,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8
CCTV8 电视剧,http://218.29.55.44:808/hls/8/index.m3u8
CCTV8 电视剧,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8
CCTV6 电影,http://39.184.224.99:9080/newlive/live/hls/6/live.m3u8
CCTV6 电影,http://124.220.17.172/as.php?id=6
CCTV6 电影,http://218.29.55.44:808/hls/6/index.m3u8
CCTV6 电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226393/index.m3u8
CCTV11 戏曲,http://39.184.224.99:9080/newlive/live/hls/11/live.m3u8
CCTV11 戏曲,http://124.220.17.172/as.php?id=11
CCTV11 戏曲,http://218.29.55.44:808/hls/11/index.m3u8
CCTV11 戏曲,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226240/index.m3u8
CCTV12 社会与法,http://39.184.224.99:9080/newlive/live/hls/12/live.m3u8
CCTV12 社会与法,http://124.220.17.172/as.php?id=12
CCTV12 社会与法,http://218.29.55.44:808/hls/12/index.m3u8
CCTV12 社会与法,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226190/index.m3u8
CCTV2 财经,http://39.184.224.99:9080/newlive/live/hls/2/live.m3u8
CCTV2CCTV2 财经,http://124.220.17.172/as.php?id=2
CCTV2CCTV2 财经,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8?
CCTV2CCTV2 财经,http://218.29.55.44:808/hls/2/index.m3u8
CCTV2CCTV2 财经,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV3 综艺,http://39.184.224.99:9080/newlive/live/hls/3/live.m3u8
CCTV3 综艺,http://124.220.17.172/as.php?id=3
CCTV3 综艺,http://218.29.55.44:808/hls/3/index.m3u8
CCTV3 综艺,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226397/index.m3u8
CCTV5 体育,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV5 体育,http://39.184.224.99:9080/newlive/live/hls/5/live.m3u8
CCTV5 体育,http://124.220.17.172/as.php?id=5
CCTV5 体育,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV5 体育,http://218.29.55.44:808/hls/5/index.m3u8
CCTV5 体育,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV5+ 体育赛事,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8
CCTV5+ 体育赛事,http://124.220.17.172/as.php?id=5p
CCTV5+ 体育赛事,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8?
CCTV5+ 体育赛事,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226221/index.m3u8
CCTV7 国防军事,http://39.184.224.99:9080/newlive/live/hls/7/live.m3u8
CCTV7 国防军事,http://124.220.17.172/as.php?id=7
